geoid10,downMean,upMean,downStdDev,upStdDev,tests,income,lon,lat
060510001011137,2.6282964955,0.8575494186000001,1.4113896750000001,0.38885166345,8,51679,37.7913493,-118.5313164
060510001011138,2.1093265611,1.1359544205,0.9912783219500001,0.31432379895,8,51679,37.7897871,-118.4925646
060510001011143,2.0660593823499998,1.0389249999999999,0.8664894642000001,0.32816762015,8,51679,37.8084914,-118.4726677
060510001011149,3.4441496215000003,1.1510687499999999,1.4939935260000001,0.32630331614999997,8,51679,37.8409723,-118.4549586
060510001011215,16.412001704106668,4.248620149610001,5.275820238641667,0.7724409960166666,8,51679,37.5171415,-118.3584261
060510001012161,25.29202256,10.2176625,7.342583357999999,2.83298470175,8,50595,37.7964312,-119.072544
060510001013190,0.6709737205499999,0.1269730355475,0.54423268155,0.318335292175,8,80972,37.4980595,-118.6105367
060510001013284,6.608884949,1.8179535715,2.5478049465000003,0.60891823605,8,80972,37.5810338,-118.686419
060510001014264,7.7689961365,0.79312872025,3.8746868379999997,0.5114882549499999,8,90407,37.57326,-118.7976882
060510001023132,16.77876104625,5.473274466475,5.54984068025,1.565040996575,8,60139,38.3031411,-119.2144951
060510001023197,12.50621851325,5.761229069775,4.05638682225,1.643521089,8,60139,38.2173616,-119.1242721
060510001024122,17.938475,7.782381249999999,4.4689649435,1.8415557740250001,8,53750,38.0465453,-119.1375633
060510002004017,7.176289372550001,2.604289958175,2.9332957536375006,0.6739039097,8,65163,37.6301805,-118.9800883
060510002009044,9.366854764874999,3.17705,3.6012389664375,0.6158277959124999,8,0,37.6456179,-119.0237729
060530005022008,6.41971450125,7.6448954215125005,2.960156025375,3.0513920410125,8,36058,36.6836057,-121.6423584
060530103051002,2.89179016632,0.34972534851666665,1.9900748550233336,0.33847490654999995,8,62917,36.8171692,-121.6995948
060530103052011,21.180681212499998,8.216425000000001,10.759456490375,2.46009756535,8,73636,36.8029438,-121.6595051
060530104003009,14.075189043624999,6.277259375,6.032859027000001,2.1338189184375,8,42632,36.7617918,-121.7477387
